name,city,label_id,address,imgsUrl,score,averagePrice,lat,lng
西安玉山蓝河风景区,1,"[""自然生态""]",蓝田县蓝桥镇蓝桥河村,http://zxwpic.weiyoutong.com/2c5cff3d-f974-4f9a-920f-ad5b4ca48500.jpg,0.0,,34.075221,109.445802
骊山索道,1,"[""都市玩乐""]",临潼区华清路10号,http://zxwpic.weiyoutong.com/66d7c4c9-3ec5-46a3-9db4-68a9dcbc2c69.jpg,4.3,,34.3647448,109.2119039
簸箕掌,1,"[""都市玩乐""]",蓝田县洩湖镇簸箕掌村,http://zxwpic.weiyoutong.com/20857f71-df76-4ed5-924b-37817957410d.jpg,0.0,,34.216379,109.294327
永兴坊,1,"[""历史人文""]",新城区中山门（小东门）里,http://zxwpic.weiyoutong.com/08f0bcb3-0877-4c97-ba9d-027a82f95c09.jpg,4.7,
秦岭国家植物园,1,"[""自然生态""]",周至县境内,http://zxwpic.weiyoutong.com/8a117879-c1f0-4574-8268-8f095e2dd601.JPG,0.0,,34.163669,108.222162
周至水街沙沙河景区,1,"[""都市玩乐""]",周至县108国道与沙河桥交汇处,http://zxwpic.weiyoutong.com/dff12f09-bc0d-4982-8289-0e6b778dca33.jpg,4.6,,34.093301,108.14649
八路军西安办事处纪念馆,1,"[""红色旅游""]",北新街七贤庄一号,http://zxwpic.weiyoutong.com/06b172a0-2dcc-49eb-bb88-89636cb4eb30.jpg,5.0,,34.2726309,108.9542802
大明宫国家遗址公园,1,"[""历史人文""]",西安市未央区自强东路585号,http://zxwpic.weiyoutong.com/31646d92-4d3b-4370-9f0d-c72d7f5ae578.jpg,4.3,,34.281416,108.95919
白鹿原影视城,1,"[""都市玩乐""]",蓝田县前卫镇s107（关中环线）将军岭隧道西1公里处,http://zxwpic.weiyoutong.com/8350a1e9-3eb6-4710-a377-5ba3a1b90cf5.jpg,4.7,55.0,34.0781348,109.2924612
陕西自然博物馆,1,"[""历史人文""]",西安市长安南路88号,http://zxwpic.weiyoutong.com/fcd7392a-a386-48d4-a4d9-a25fed4a5ee1.jpg,4.6,,34.1866815,108.9453014
翠华山山崩景区,1,"[""自然生态""]",长安区太乙宫镇翠华山,http://zxwpic.weiyoutong.com/3e6edf1b-a49a-41a3-84a8-015591ca50c9.jpg,4.6,20.0,33.981478,109.007286
白鹿原民俗文化村景区,1,"[""民俗风情""]",蓝田县田坡村,http://zxwpic.weiyoutong.com/8acf25ab-68c8-4183-a527-10c7a98a9f07.jpg,0.0,,34.143699,109.294931
兴庆宫公园,1,"[""都市玩乐""]",咸宁西路55号,http://zxwpic.weiyoutong.com/6f5010ce-8e77-4e9e-86b5-f731fee0f958.jpg,4.5,,34.25106,108.983953
西安青龙寺遗址景区,1,"[""宗教寺院""]",西安市西影路铁炉庙,http://zxwpic.weiyoutong.com/5d45088e-b385-48f9-a94d-a0faf9a6ad49.jpeg,0.0,0.0,34.229242,108.989233
